"TicketNumber","Summary","Status","Priority","ReportedBy","AssignedTo","ClosedAt","CreatedAt"
"TKT-0001","Login page crashes on mobile (iOS 17)","Open","Critical",,"Alice J. Smith","","2026-06-27T20:15:22Z"
"TKT-0003","Login page crashes on iOS 17","Open","Critical","Administrator","","","2025-06-27T20:57:21Z"
"TKT-0004","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-06-27T22:42:21Z"
"TKT-0005","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-06-28T00:27:21Z"
"TKT-0006","Performance regression in Admin","Closed","Low","Alice J. Smith","Administrator","2012-10-21T23:57:21Z","2025-06-28T02:12:21Z"
"TKT-0007","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-06-28T03:57:21Z"
"TKT-0008","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-06-28T05:42:21Z"
"TKT-0009","Pagination skips records in Tickets","Blocked","Medium","Administrator","Alice J. Smith","","2025-06-28T07:27:21Z"
"TKT-0010","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2012-10-26T03:57:21Z","2025-06-28T09:12:21Z"
"TKT-0011","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-06-28T10:57:21Z"
"TKT-0012","Session timeout too aggressive in Reports","In Progress","High","Alice J. Smith","Administrator","","2025-06-28T12:42:21Z"
"TKT-0013","Dark mode toggle broken on Windows 11","Blocked","Medium","Administrator","","","2025-06-28T14:27:21Z"
"TKT-0014","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2012-10-30T07:57:21Z","2025-06-28T16:12:21Z"
"TKT-0015","Bulk delete removes wrong records in Billing","Open","Critical","Administrator","Alice J. Smith","","2025-06-28T17:57:21Z"
"TKT-0016","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-06-28T19:42:21Z"
"TKT-0017","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-06-28T21:27:21Z"
"TKT-0018","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2012-11-03T11:57:21Z","2025-06-28T23:12:21Z"
"TKT-0019","Two-factor auth bypass on iOS 17","Open","Critical","Administrator","Alice J. Smith","","2025-06-29T00:57:21Z"
"TKT-0020","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-06-29T02:42:21Z"
"TKT-0021","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-06-29T04:27:21Z"
"TKT-0022","Filter resets on page refresh in Admin","Closed","Low","Alice J. Smith","Administrator","2012-11-07T15:57:21Z","2025-06-29T06:12:21Z"
"TKT-0023","Login page crashes on Firefox","Open","Critical","Administrator","","","2025-06-29T07:57:21Z"
